time,x,p,v,w
0.0,5.5,0.0,3.3346935521793393,0.0
0.1001001001001001,5.504795970793661,0.09264855835587038,3.4379785335160515,2.0399609322082957
0.2002002002002002,5.517298796446607,0.14800463852781254,3.7334000134882372,3.7882220287186628
0.3003003003003003,5.532087790881225,0.1336436182414825,4.176029511479546,4.926537373454984
0.4004004004004004,5.541006611688326,0.02859242331449589,4.688991577098953,5.149314547235077
0.5005005005005005,5.534696890075448,-0.16898815401897663,5.170622442849394,4.294805642978521
0.6006006006006006,5.504797676757126,-0.4371075235672921,5.517231067810616,2.5065324986959436
0.7007007007007008,5.446230087885235,-0.7336995771484053,5.65758376355753,0.2800115994831964
0.8008008008008008,5.35859236334721,-1.0102589320589348,5.581451643656011,-1.706105489920096
0.9009009009009009,5.245924913534205,-1.2292032290011072,5.343291600707922,-2.886576000890752
1.001001001001001,5.114964669759947,-1.3752395490242824,5.038995032985376,-3.016139197956272
1.1011011011011012,4.972806082343042,-1.455705633875733,4.772352388815689,-2.165660999001114
1.2012012012012012,4.8249906772155216,-1.492597114154136,4.629959757561869,-0.5809785388583084
1.3013013013013013,4.674554352865052,-1.512372076080968,4.670936984114018,1.4506567654888098
1.4014014014014016,4.522017320143259,-1.5377126361882494,4.925896186619673,3.64669615139196
1.5015015015015016,4.366053055428335,-1.582142042017072,5.396191628478817,5.6953396114534085
1.6016016016016017,4.20458120685936,-1.6468151039512966,6.0480130153145994,7.198298132384935
1.7017017017017018,4.036084922542432,-1.7193430313179479,6.802842134999722,7.6695950095390275
1.8018018018018018,3.860892003587359,-1.7760305282403421,7.533955895140526,6.667489520483688
1.9019019019019021,3.6819773756831484,-1.7894222614867696,8.083605121378545,4.065092203409271
2.002002002002002,3.5047503705638268,-1.740543378496215,8.308461896285868,0.3038022579355005
2.1021021021021022,3.335597891406512,-1.6301867152590448,8.138252990649082,-3.6378450703863243
2.2022022022022023,3.1796899858990266,-1.4812123527298537,7.6114322139773165,-6.656881455447705
2.3023023023023024,3.0391627926665246,-1.329013567671548,6.860795695986388,-8.04229947302842
2.4024024024024024,2.9126233643344803,-1.2061924630777763,6.059576854191085,-7.698905496353852
2.5025025025025025,2.7960864731869015,-1.130546692842381,5.3651396665442554,-5.9917992010319905
2.6026026026026026,2.684743572679481,-1.1005694139202262,4.887806264608469,-3.450234627002399
2.702702702702703,2.5748633763072695,-1.0967605179516071,4.6853865267631205,-0.577546100013686
2.802802802802803,2.4654058868702657,-1.0856589517356827,4.768008283771362,2.169162935985085
2.902902902902903,2.359140654933923,-1.0258499405640824,5.099552365030632,4.311346225122763
3.0030030030030033,2.2629964209038995,-0.8776900430534345,5.5935409695804355,5.3293753902422
3.1031031031031033,2.1871882983101183,-0.617899592483828,6.114683378528681,4.808391021200206
3.2032032032032034,2.1427790159717883,-0.2549563724035904,6.503778775870622,2.7395739631422082
3.3033033033033035,2.138089802507883,0.16539140297079824,6.631553973253657,-0.2590262699880179
3.4034034034034035,2.1754906355395773,0.5739503107049996,6.456871539204416,-3.1123670244467916
3.5035035035035036,2.2504317103477836,0.9067964899857117,6.047123728177951,-4.827241824250457
3.6036036036036037,2.3533451051846264,1.1304736033445169,5.543973649615974,-4.959289714888854
3.7037037037037037,2.473200881273993,1.2486002373113856,5.102561126699138,-3.6544404604707084
3.8038038038038042,2.600783460644026,1.2911641759797248,4.844972540796856,-1.3726244629882796
3.9039039039039043,2.7305056108154506,1.2980301133573589,4.843476791817729,1.382414864242271
4.004004004004004,2.860688896556044,1.3056898816024443,5.122342436308647,4.155819564435272
4.104104104104104,2.9927886645787054,1.339302427340573,5.6610180674749415,6.493485320662733
4.2042042042042045,3.1300194340923007,1.408337536412783,6.390636213434349,7.879887345736042
4.3043043043043046,3.2756688388296804,1.5047212701531438,7.189089230153624,7.79011015607565
4.404404404404405,3.43139804003757,1.6048209464100598,7.890143420506899,5.918168198688705
4.504504504504505,3.5960349309694273,1.677570193162764,8.320940611597617,2.481674671402807
4.604604604604605,3.7654776828415337,1.6979163615149602,8.362603803302612,-1.6733199644417553
4.704704704704705,3.933958569880705,1.6590950795237573,8.001197440676197,-5.379855149915667
4.804804804804805,4.096123385315501,1.5756132215182663,7.332338782856411,-7.706467826186262
4.904904904904905,4.248829694925736,1.4751323216584162,6.515915991837383,-8.327920434020358
5.005005005005005,4.391820859563159,1.3855605173645977,5.714405155502823,-7.479821088337411
5.105105105105105,4.527206260430083,1.3250953409145454,5.050837699193141,-5.660244346123504
5.205205205205205,4.658239989986611,1.2981857731573312,4.597071285885568,-3.361413243308914
5.305305305305305,4.787936247232605,1.2958648732841496,4.381080810144609,-0.9637330478806547
5.405405405405406,4.9178309501290896,1.2980301188915246,4.397538385795072,1.2364957153302287
5.505505505505506,5.0470260363315145,1.2768458035888612,4.612503843790794,2.9520817662360384
5.605605605605606,5.171665550421541,1.202214346274379,4.961777446532407,3.865912047153674
5.705705705705706,5.2851190840166895,1.0505397736638602,5.349902404631813,3.690551780320759
5.805805805805806,5.379181477134091,0.8157817818917827,5.660814619961763,2.33516433190735
5.9059059059059065,5.44629758150784,0.5177128724860062,5.786950355314686,0.08081241583054272
6.0060060060060065,5.482167315945723,0.20020705399833108,5.668716879662301,-2.417169037260116
6.106106106106107,5.487535558457344,-0.08300072032411639,5.321004768138171,-4.385161435123979
6.206206206206207,5.468182195376069,-0.28819082625221404,4.82699439542427,-5.283604994054561
6.306306306306307,5.433132780239843,-0.39558674952635986,4.3034966965733075,-4.986734803687653
6.406406406406407,5.39206713380858,-0.41126374925905435,3.8617359391096686,-3.7024383728111303
6.506506506506507,5.353038107434435,-0.36010542974039406,3.583757227693586,-1.773215666207539
6.606606606606607,5.321054489812643,-0.27664307769059776,3.5171433551745745,0.469614906815129
6.706706706706707,5.297486811463552,-0.19813657129324472,3.6786182930612084,2.7376850703369
6.806806806806807,5.280029444921512,-0.16014783138718455,4.056446530063161,4.740607319286524
6.906906906906907,5.263065610450213,-0.1925045523330045,4.607544080223944,6.138457128096634
7.007007007007007,5.2385055750922795,-0.3136901723666872,5.252894704456712,6.56657568031724
7.107107107107107,5.1972640246398525,-0.5240282907009431,5.881090045917688,5.774359557346562
7.207207207207207,5.131334160814864,-0.8014579994012996,6.369911069943391,3.8281650799611
7.307307307307307,5.0359258978087995,-1.1052454954479443,6.624929429666808,1.2160038263173767
7.407407407407407,4.910737999033124,-1.3892346451495023,6.616733849368245,-1.2972531387704462
7.507507507507508,4.759648167670991,-1.618639513946373,6.392388512063665,-3.008869834797352
7.6076076076076085,4.588963218107639,-1.7805295214724117,6.0535084811394855,-3.5608876970138192
7.7077077077077085,4.405186092643497,-1.8828570729255536,5.717459953070546,-2.983294423456213
7.807807807807809,4.213355739059784,-1.9449850157115636,5.484915658894559,-1.5488854706489792
7.907907907907909,4.0164851841516,-1.9862585219650946,5.424187626737344,0.3895611183260216
8.008008008008009,3.816035223814564,-2.017208615624323,5.567677817081286,2.470149621357016
8.108108108108109,3.613068495817165,-2.0348203322519294,5.910500056288206,4.302042939109344
8.208208208208209,3.4096632194701915,-2.0221513402735467,6.405402325811836,5.4267108726018005
8.308308308308309,3.2101121353128788,-1.9532254836743743,6.956971606953933,5.358872884426478
8.408408408408409,3.021321286754113,-1.8041402107153657,7.427288375928822,3.7795054235857166
8.508508508508509,2.8518557887675064,-1.5681603544407643,7.667085998596713,0.8272606962583481
8.608608608608609,2.709585533819045,-1.2668673904339849,7.571513840407451,-2.7524710119008438
8.70870870870871,2.5988383183697636,-0.9475852082065452,7.132369688893589,-5.8493531728096375
8.80880880880881,2.5186202364931445,-0.6654956307993161,6.4484532742321985,-7.5298513044890285
8.90890890890891,2.462973737893821,-0.4613122040457706,5.68436954871221,-7.448303351759368
9.00900900900901,2.4231988145124936,-0.3480836637948205,5.0086425820948,-5.8373982093235
9.10910910910911,2.390716799814426,-0.3112323321002042,4.54937682367138,-3.217954362865729
9.20920920920921,2.3594766645942022,-0.3163895736302831,4.379622809278861,-0.14044264017553895
9.30930930930931,2.327473924285731,-0.3185199379903295,4.519688272872922,2.8895146297108867
9.40940940940941,2.297393655252946,-0.2703968437069449,4.9393578124722,5.355359033310419
9.50950950950951,2.2763619208865156,-0.1323933997861721,5.554145279636145,6.693484040579551
9.60960960960961,2.274570221575636,0.11483443417540773,6.225173188304536,6.41944543756988
9.70970970970971,2.302604037555327,0.45830910605125047,6.781400937745664,4.432818067809096
9.80980980980981,2.3679802727214696,0.8507468293061136,7.073015068888327,1.2787435422492333
9.90990990990991,2.4723438532017012,1.2261227318221875,7.0342918243054,-1.9686640262902821
10.01001001001001,2.610932147950836,1.527132905441629,6.712304992297994,-4.233746772028079
